[2538NEWS.XML, 0.2651086]
[2792NEWS.XML, 0.275948]
[5229NEWS.XML, 0.2760609]
[4289NEWS.XML, 0.2796111]
[3665NEWS.XML, 0.2933906]
[5520NEWS.XML, 0.2966151]
[5216NEWS.XML, 0.2994998]
[2978NEWS.XML, 0.2999987]
[5697NEWS.XML, 0.3038375]
[2775NEWS.XML, 0.3038863]
[2836NEWS.XML, 0.3040946]
[3785NEWS.XML, 0.3046427]
[5104NEWS.XML, 0.3052725]
[2917NEWS.XML, 0.3062939]
[5678NEWS.XML, 0.3103105]
[2955NEWS.XML, 0.3109961]
[2504NEWS.XML, 0.3114666]
[5220NEWS.XML, 0.3125332]
[3902NEWS.XML, 0.3145488]
[4263NEWS.XML, 0.3180535]
[5675NEWS.XML, 0.322234]
[3813NEWS.XML, 0.3233991]
[2822NEWS.XML, 0.3241315]
[2848NEWS.XML, 0.3341708]
[4294NEWS.XML, 0.3351906]
[5537NEWS.XML, 0.3382461]
[5524NEWS.XML, 0.3416645]
[4206NEWS.XML, 0.3416929]
[5550NEWS.XML, 0.3469388]
[5541NEWS.XML, 0.3478134]
[5530NEWS.XML, 0.3739042]
[2988NEWS.XML, 0.3841937]
[2982NEWS.XML, 0.3884388]
[2984NEWS.XML, 0.4327055]
