[2538NEWS.XML, 0.1936518]
[5229NEWS.XML, 0.2111185]
[2792NEWS.XML, 0.2145347]
[4289NEWS.XML, 0.2192136]
[3665NEWS.XML, 0.2204147]
[5520NEWS.XML, 0.2227395]
[2978NEWS.XML, 0.230006]
[5697NEWS.XML, 0.2314649]
[5216NEWS.XML, 0.2336609]
[2836NEWS.XML, 0.2372665]
[2775NEWS.XML, 0.2383656]
[3785NEWS.XML, 0.239781]
[5678NEWS.XML, 0.240029]
[2917NEWS.XML, 0.2400787]
[5104NEWS.XML, 0.2436496]
[4263NEWS.XML, 0.2471786]
[2504NEWS.XML, 0.2490413]
[5220NEWS.XML, 0.2504878]
[2955NEWS.XML, 0.2526263]
[3902NEWS.XML, 0.2529586]
[2822NEWS.XML, 0.2544155]
[3813NEWS.XML, 0.2568308]
[2848NEWS.XML, 0.2714559]
[5537NEWS.XML, 0.2742299]
[5675NEWS.XML, 0.27532]
[4294NEWS.XML, 0.2784057]
[5524NEWS.XML, 0.2838249]
[4206NEWS.XML, 0.2852851]
[5550NEWS.XML, 0.2869375]
[5541NEWS.XML, 0.3133511]
[5530NEWS.XML, 0.3219104]
[2988NEWS.XML, 0.3338065]
[2982NEWS.XML, 0.3386837]
[2984NEWS.XML, 0.3886593]
